donor_code,donor_name,donor_type,country_code,country_name,sector,recent_avg,active_years,active_share,sector_share,disburse_pctile_within_cs,disbursement_strong,persistence_strong,embeddedness_strong,n_strong,priority,cs_context
JPN,Japan,Bilateral (DAC),ARG,Argentina,Transport & Storage,0.0,3,0.13043478260869565,0.00010682461047607691,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
9OTH020,CGIAR,Vertical Fund,ARG,Argentina,Water & Sanitation,20.500418333333332,6,0.2608695652173913,0.9493499286516814,100.0,True,False,True,2,High,Fragmented coordination space
KWT,Kuwait,Bilateral (Non-DAC),ARG,Argentina,Water & Sanitation,14.115746666666666,10,0.43478260869565216,1.0,90.9090909090909,True,False,True,2,High,Fragmented coordination space
DNK,Denmark,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.23134866666666665,4,0.17391304347826086,0.8960591212570169,72.72727272727273,True,False,True,2,High,Fragmented coordination space
KOR,Korea,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.22171335069091477,3,0.13043478260869565,0.14850001955160305,63.63636363636363,False,False,False,0,Low,Fragmented coordination space
5IDB0,IDB Group,MDB,ARG,Argentina,Water & Sanitation,0.14036233333333334,11,0.4782608695652174,0.04907495240475173,54.54545454545454,False,False,False,0,Low,Fragmented coordination space
ITA,Italy,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.054060829472748234,8,0.34782608695652173,0.004599805821926851,45.45454545454545,False,False,False,0,Low,Fragmented coordination space
AUS,Australia,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.004194329375625067,4,0.17391304347826086,0.005341744123357991,9.090909090909092,False,False,False,0,Low,Fragmented coordination space
FRA,France,Bilateral (DAC),ARG,Argentina,Water & Sanitation,7.481713167215432,5,0.21739130434782608,0.07989306884125529,81.81818181818183,True,False,False,1,Medium,Fragmented coordination space
DEU,Germany,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.04610414311224024,12,0.5217391304347826,0.00139805113015323,36.36363636363637,False,True,False,1,Medium,Fragmented coordination space
ESP,Spain,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.018014745194547665,13,0.5652173913043478,0.02223682224746959,27.27272727272727,False,True,False,1,Medium,Fragmented coordination space
JPN,Japan,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.015072070258866734,16,0.6956521739130435,0.010517568594955416,18.181818181818183,False,True,False,1,Medium,Fragmented coordination space
1UN019,UNICEF,UN Agency,ARG,Argentina,Water & Sanitation,0.0,2,0.08695652173913043,0.0012851770384832634,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
9OTH001,Adaptation Fund,Vertical Fund,ARG,Argentina,Water & Sanitation,0.0,2,0.08695652173913043,0.12042983757681183,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
9OTH011,Global Environment Facility,Vertical Fund,ARG,Argentina,Water & Sanitation,0.0,2,0.08695652173913043,0.03847712512305102,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
CAN,Canada,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.0,7,0.30434782608695654,0.03669227661828686,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
CHE,Switzerland,Bilateral (DAC),ARG,Argentina,Water & Sanitation,0.0,1,0.043478260869565216,0.004974149455630892,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
